time,seconds_elapsed,z,y,x
1717002214786155800,0.04815576171875,0,0,0
1717002214795821300,0.0578212890625,-0.057547569274902344,0.03561043739318848,-0.03406524658203125
1717002214805486600,0.067486572265625,-0.11450767517089844,0.1017155647277832,0.013373732566833496
1717002214815152000,0.077152099609375,-0.21703243255615234,0.1743454933166504,0.10174524784088135
1717002214824817700,0.086817626953125,-0.2981576919555664,0.2068638801574707,0.18220067024230957
1717002214834483000,0.09648291015625,-0.3018798828125,0.2606322765350342,0.206512451171875
1717002214844148500,0.1061484375,-0.21439266204833984,0.2631361484527588,0.1921316385269165
1717002214853814000,0.11581396484375,-0.17073822021484375,0.24353671073913574,0.1510026454925537
1717002214863479300,0.125479248046875,-0.07621002197265625,0.21034526824951172,0.08254420757293701
1717002214873144800,0.135144775390625,0.04768562316894531,0.14564251899719238,0.02770233154296875
1717002214882810400,0.144810302734375,0.14226245880126953,0.1401827335357666,-0.0371779203414917
1717002214892475600,0.1544755859375,0.46433353424072266,0.10397171974182129,-0.07906925678253174
1717002214902141200,0.16414111328125,0.37871360778808594,0.12289023399353027,-0.1493680477142334
1717002214911806700,0.173806640625,0.21982860565185547,0.09443211555480957,-0.2098684310913086
1717002214921472300,0.18347216796875,0.20452404022216797,-0.021158695220947266,-0.14595341682434082
1717002214931137500,0.193137451171875,0.1941080093383789,-0.11457467079162598,-0.10850250720977783
1717002214940803000,0.202802978515625,0.20221233367919922,-0.13109445571899414,-0.08100605010986328
1717002214950468600,0.212468505859375,0.32067012786865234,-0.033560991287231445,0.087921142578125
1717002214960134000,0.2221337890625,0.25658702850341797,0.015159964561462402,0.23724889755249023
1717002214969799400,0.23179931640625,0.13960838317871094,-0.02577054500579834,0.2752664089202881
1717002214979465000,0.24146484375,-0.09165096282958984,-0.08712303638458252,0.2971184253692627
1717002214989130200,0.251130126953125,-0.36388683319091797,-0.1355522871017456,0.23737096786499023
1717002214998795800,0.260795654296875,-0.6005764007568359,-0.17984986305236816,0.09462451934814453
1717002215008461300,0.27046142578125,-0.7765722274780273,-0.17111074924468994,-0.05813395977020264
1717002215018126600,0.280126708984375,-0.8835372924804688,-0.13595223426818848,-0.12102818489074707
1717002215027792100,0.289792236328125,-0.9224872589111328,-0.03878581523895264,-0.22319364547729492
1717002215037457700,0.299457763671875,-0.836421012878418,0.010399937629699707,-0.2601994276046753
1717002215047123000,0.309123046875,-0.6665372848510742,-0.007911920547485352,-0.2602802515029907
1717002215056788500,0.31878857421875,-0.507756233215332,-0.05357468128204346,-0.22124624252319336
1717002215066454000,0.3284541015625,-0.40573596954345703,-0.12103688716888428,-0.13143324851989746
1717002215076119300,0.338119384765625,-0.26346874237060547,-0.22824358940124512,-0.02625143527984619
1717002215085784800,0.347784912109375,-0.14239978790283203,-0.3191272020339966,0.09500682353973389
1717002215095450400,0.357450439453125,-0.011498451232910156,-0.38966643810272217,0.20701420307159424
1717002215105115600,0.36711572265625,0.04333209991455078,-0.3958866596221924,0.289229154586792
1717002215114781200,0.37678125,0.03620624542236328,-0.3334794044494629,0.32408106327056885
1717002215124446700,0.38644677734375,-0.012414932250976562,-0.25312304496765137,0.3096959590911865
