time,seconds_elapsed,z,y,x
1717001546904071200,138.5010712890625,0.6840725541114807,0.296108216047287,-0.9594883322715759
1717001546913737200,138.5107373046875,1.1238826513290405,-0.6372663974761963,0.048486001789569855
1717001546923403300,138.5204033203125,1.4745088815689087,-1.374024510383606,0.5725929737091064
1717001546933069600,138.53006958007813,1.7726024389266968,-2.027020215988159,0.7033142447471619
1717001546942735600,138.53973559570312,1.8587318658828735,-2.7252187728881836,0.681323766708374
1717001546952402000,138.54940185546874,1.6736451387405396,-3.4558684825897217,0.5774797201156616
1717001546962068000,138.55906787109376,1.3737190961837769,-4.202323913574219,0.42660045623779297
1717001546971734300,138.568734375,1.0866209268569946,-4.886472702026367,0.27327778935432434
1717001546981400300,138.578400390625,0.8679376244544983,-5.332391262054443,0.16821207106113434
1717001546991066400,138.58806640625,0.7359945774078369,-5.326282501220703,0.13705885410308838
1717001547000732700,138.59773266601562,0.6516976952552795,-4.766746520996094,0.16576866805553436
1717001547010398700,138.60739868164063,0.5710658431053162,-3.422882556915283,0.20364120602607727
1717001547020064800,138.61706469726562,0.5845044851303101,-0.690486490726471,0.1724879890680313
1717001547029731000,138.62673095703124,0.7091172933578491,1.8458276987075806,0.22929678857326508
1717001547039397000,138.63639721679687,0.7634826898574829,2.807988405227661,0.41438350081443787
1717001547049063400,138.6460634765625,0.7585959434509277,2.923438549041748,0.5951942801475525
1717001547058729500,138.6557294921875,0.7304969429969788,2.9356555938720703,0.71369868516922
1717001547068395500,138.6653955078125,0.7133932709693909,3.2019848823547363,0.7479060888290405
1717001547078061800,138.67506176757811,0.7408813834190369,3.6625638008117676,0.6843779683113098
1717001547087727900,138.68472778320313,0.8117396235466003,4.015633583068848,0.5341095924377441
1717001547097394200,138.69439428710936,0.9113077521324158,4.076107501983643,0.2812187969684601
1717001547107060200,138.70406030273438,0.9962155222892761,3.698603868484497,-0.07070557028055191
1717001547116726300,138.71372631835936,1.024314522743225,2.6259560585021973,-0.3736858069896698
1717001547126392600,138.723392578125,0.9717816114425659,0.9802571535110474,-0.40361732244491577
1717001547136058600,138.73305859375,0.8911498188972473,-0.6397097706794739,-0.16783028841018677
1717001547145724700,138.742724609375,0.8850412964820862,-1.7881790399551392,0.14255647361278534
1717001547155391000,138.7523908691406,0.9571213126182556,-2.3892526626586914,0.3960580825805664
1717001547165057000,138.76205712890626,1.0463049411773682,-2.5633442401885986,0.5664844512939453
1717001547174723300,138.7717233886719,1.1073896884918213,-2.4680519104003906,0.6697176694869995
1717001547184389400,138.78138940429687,1.1379320621490479,-2.2182154655456543,0.7094227075576782
1717001547194055400,138.79105541992186,1.1470948457717896,-1.8993531465530396,0.6984274983406067
1717001547203721700,138.8007216796875,1.1348778009414673,-1.5975946187973022,0.6636092066764832
1717001547213387800,138.8103876953125,1.0896751880645752,-1.3660835027694702,0.6312342882156372
1717001547223054000,138.82005419921876,1.0108758211135864,-1.1974897384643555,0.6135197281837463
1717001547232720100,138.82972021484375,0.9155836701393127,-1.038669466972351,0.6110763549804688
1717001547242386200,138.83938623046876,0.8251782655715942,-0.8505284786224365,0.6135197281837463
1717001547252052500,138.84905249023439,0.7494332194328308,-0.6012263894081116,0.6141305565834045
1717001547261718500,138.85871850585937,0.6895701885223389,-0.30740886926651,0.6122980117797852
1717001547271384800,138.868384765625,0.6492542624473572,-0.001374406274408102,0.6086329221725464
1717001547281051000,138.87805078125,0.62543123960495,0.296108216047287,0.6086329221725464
1717001547290717000,138.88771704101563,0.6388698816299438,0.5661026835441589,0.606800377368927
1717001547300383200,138.89738330078126,0.6926244497299194,0.7988355159759521,0.5958051681518555
1717001547310049300,138.90704931640624,0.7793647646903992,1.0046910047531128,0.556100070476532
1717001547319715600,138.91671557617187,0.8917606472969055,1.1384665966033936,0.4479801058769226
1717001547329381600,138.92638159179688,1.0084325075149536,1.0853228569030762,0.2531198263168335
1717001547339047700,138.93604760742187,1.0597436428070068,0.789061963558197,0.05459447205066681
1717001547348714000,138.9457138671875,1.0133192539215088,0.32726141810417175,-0.03833066672086716
1717001547358380000,138.95538012695312,0.9009233713150024,-0.18768282234668732,-0.005879404954612255
1717001547368046000,138.96504614257813,0.7622610330581665,-0.7106444239616394,0.10895988345146179
1717001547377712400,138.97471240234376,0.621155321598053,-1.1987113952636719,0.24945475161075592
1717001547387378400,138.98437841796874,0.48493635654449463,-1.5908753871917725,0.3704025149345398
1717001547397044700,138.99404467773437,0.35360419750213623,-1.865756630897522,0.44187164306640625
1717001547406710800,139.00371069335938,0.23387815058231354,-1.9964779615402222,0.445536732673645
1717001547416376800,139.013376953125,0.12514732778072357,-1.9702115058898926,0.36551573872566223
1717001547426043100,139.02304321289063,0.010308047756552696,-1.7985633611679077,0.18959172070026398
1717001547435709200,139.0327092285156,-0.15217731893062592,-1.5493377447128296,-0.060932014137506485
1717001547445375200,139.04237524414063,-0.388651579618454,-1.3453147411346436,-0.34314343333244324
1717001547455041500,139.05204150390625,-0.6513158679008484,-1.2530767917633057,-0.6345176100730896
1717001547464707600,139.06170751953124,-0.9035958051681519,-1.2469682693481445,-0.9326110482215881
1717001547474373600,139.07137353515625,-1.185807228088379,-1.2530767917633057,-1.2209309339523315
1717001547484040000,139.0810400390625,-1.4863440990447998,-1.2316970825195312,-1.407239317893982
1717001547493706000,139.0907060546875,-1.7758857011795044,-1.1345723867416382,-1.454885482788086
1717001547503372300,139.10037231445312,-2.0935263633728027,-0.9134457111358643,-1.4658807516098022
1717001547513038300,139.1100383300781,-2.4636998176574707,-0.5602996349334717,-1.5342955589294434
1717001547522704400,139.11970434570313,-2.81738018989563,-0.1510319858789444,-1.6802880764007568
1717001547532370700,139.12937060546875,-3.007430076599121,0.07009471952915192,-1.7939057350158691
