time,seconds_elapsed,z,y,x
1717003856702977500,0.0479775390625,1.0409600734710693,1.0584455728530884,-0.09949174523353577
1717003856712643000,0.05764306640625,0.8283852338790894,1.2594143152236938,0.3739912211894989
1717003856722308600,0.06730859375,0.5009710788726807,1.379751205444336,0.9439117312431335
1717003856731974100,0.07697412109375,0.26762744784355164,1.3418787717819214,1.552315592765808
1717003856741639700,0.0866396484375,0.168670192360878,1.1488510370254517,2.1472809314727783
1717003856751305200,0.09630517578125,0.1259108930826187,0.7707365155220032,2.612135648727417
1717003856760970800,0.105970703125,-0.3310028612613678,-0.6122216582298279,2.3250374794006348
1717003856770636300,0.11563623046875,-1.0763128995895386,-2.738046407699585,1.4051014184951782
1717003856780301800,0.1253017578125,-1.485580563545227,-3.5285592079162598,1.047144889831543
1717003856789967400,0.13496728515625,-1.6498984098434448,-3.3030800819396973,1.1784770488739014
1717003856799633000,0.1446328125,-1.6773865222930908,-3.2548232078552246,1.2713258266448975
1717003856809298400,0.15429833984375,-1.573542594909668,-3.7997753620147705,1.1296093463897705
1717003856818964000,0.1639638671875,-1.4929107427597046,-4.123524188995361,0.7215633392333984
1717003856828629500,0.17362939453125,-1.580872654914856,-3.5102338790893555,0.22127941250801086
1717003856838295000,0.183294921875,-1.7036529779434204,-2.407578229904175,-0.07017108052968979
1717003856847960600,0.192960693359375,-1.7317520380020142,-1.066157579421997,-0.23387815058231354
1717003856857626000,0.202626220703125,-1.5509412288665771,-0.38071054220199585,-0.18989713490009308
1717003856867291600,0.212291748046875,-1.2198619842529297,0.15805672109127045,-0.1336991935968399
1717003856876957200,0.221957275390625,-0.8252546191215515,0.5178457498550415,-0.17157171666622162
1717003856886622700,0.231622802734375,-0.4715740978717804,0.4885250926017761,-0.33527877926826477
1717003856896288300,0.241288330078125,-0.26991814374923706,0.04504998400807381,-0.5588488578796387
1717003856905953800,0.250953857421875,-0.1990598440170288,-0.5627430081367493,-0.6681905388832092
1717003856915619300,0.260619384765625,-0.16912832856178284,-0.8780165910720825,-0.6284855008125305
1717003856925284900,0.270284912109375,-0.12514732778072357,-0.6897992491722107,-0.5252522826194763
1717003856934950400,0.279950439453125,-0.050013117492198944,-0.34039464592933655,-0.44278791546821594
1717003856944616000,0.289615966796875,0.01046075951308012,-0.2970244884490967,-0.45439401268959045
1717003856954281500,0.299281494140625,-0.021303297951817513,-0.6873558759689331,-0.5509078502655029
1717003856963947000,0.308947021484375,-0.13797512650489807,-1.2072632312774658,-0.6468108892440796
1717003856973612500,0.318612548828125,-0.27052897214889526,-1.3282109498977661,-0.6889593601226807
1717003856983278000,0.328278076171875,-0.35054996609687805,-1.2097066640853882,-0.7647044062614441
1717003856992943600,0.337943603515625,-0.3787252902984619,-1.0569947957992554,-0.8441145420074463
1717003857002609200,0.347609130859375,-0.3468848764896393,-1.0014077425003052,-0.8764894604682922
1717003857012274700,0.357274658203125,-0.253425270318985,-1.0246199369430542,-0.8563315272331238
1717003857021940200,0.366940185546875,-0.09399411827325821,-1.1186903715133667,-0.7909708619117737
1717003857031605800,0.376605712890625,0.12102411687374115,-1.3153831958770752,-0.6901810169219971
1717003857041271300,0.386271240234375,0.35925453901290894,-1.5701065063476562,-0.5716766715049744
1717003857050936800,0.395936767578125,0.6237514019012451,-1.8211647272109985,-0.4342360496520996
1717003857060602400,0.405602294921875,0.8766421675682068,-2.1326968669891357,-0.2912977933883667
1717003857070268000,0.415267822265625,1.0507336854934692,-2.4759929180145264,-0.18989713490009308
1717003857079933400,0.424933349609375,1.1350305080413818,-2.657414674758911,-0.16301986575126648
1717003857089599000,0.434598876953125,1.1350305080413818,-2.648862838745117,-0.2149418741464615
1717003857099264500,0.444264404296875,1.0403492450714111,-2.4350662231445312,-0.32245099544525146
1717003857108930000,0.453929931640625,0.8570950627326965,-2.0257985591888428,-0.4580591022968292
1717003857118595600,0.463595703125,0.5932090282440186,-1.5493377447128296,-0.6046624183654785
1717003857128261000,0.47326123046875,0.3354314863681793,-1.1565629243850708,-0.8099071383476257
1717003857137926700,0.4829267578125,0.1540098637342453,-0.8957311511039734,-1.1519815921783447
1717003857147592200,0.49259228515625,0.03306210786104202,-0.8584694862365723,-1.4567943811416626
1717003857157257700,0.5022578125,-0.06650599837303162,-0.8493067622184753,-1.6052302122116089
1717003857166923300,0.51192333984375,-0.16912832856178284,-0.6904101371765137,-1.6205013990402222
1717003857176588800,0.5215888671875,-0.2387649267911911,-0.5181511640548706,-1.5539190769195557
1717003857186254300,0.53125439453125,-0.20822255313396454,-0.5297572612762451,-1.4506858587265015
1717003857195920000,0.540919921875,-0.07322531193494797,-0.6659762263298035,-1.3663889169692993
1717003857205585400,0.55058544921875,0.04772244393825531,-0.7429429888725281,-1.2998065948486328
1717003857215251000,0.5602509765625,0.13629528880119324,-0.7600467205047607,-1.2289483547210693
1717003857224916500,0.56991650390625,0.16378341615200043,-0.7258392572402954,-1.1550358533859253
1717003857234582000,0.57958203125,0.1008661538362503,-0.705070436000824,-1.0896751880645752
1717003857244247600,0.58924755859375,-0.03168770298361778,-0.6806365847587585,-1.0640195608139038
1717003857253913000,0.5989130859375,-0.15813308954238892,-0.6311579346656799,-1.0860100984573364
1717003857263578600,0.60857861328125,-0.22166119515895844,-0.5841227173805237,-1.129991054534912
1717003857273244200,0.618244140625,-0.20822255313396454,-0.5401417016983032,-1.1550358533859253
1717003857282909700,0.62790966796875,-0.12942326068878174,-0.4619532525539398,-1.1287693977355957
1717003857292575200,0.6375751953125,-0.014583977870643139,-0.3465031087398529,-1.0408073663711548
